Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Funicular,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Sunkid Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Aerial tramway/reversible ropeway,Rope tow/beginner lift,People mover,Combined installation (gondola and chair),Cog railway,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing
gut-enghagen-rossleithen,Europe,Austria,Upper Austria (Oberosterreich),http://www.skiresort.info/ski-resort/gut-enghagen-rossleithen/,690,0.5,0,0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
guta,Europe,Ukraine,,http://www.skiresort.info/ski-resort/guta/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
gutachhalde-lenzkirch-kappel,Europe,Germany,Baden-Wurttemberg,http://www.skiresort.info/ski-resort/gutachhalde-lenzkirch-kappel/,860,0.3,0,0,,,,,,6.5,0,5,European Euro,1.1,1,1,,,,,,,,,,,,,,,,,0,,,,,
guttannen,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/guttannen/,1150,0.5,0,0,,,,,,0,0,0,-,1.1,1,1,,,,,,,,,,,,,,,,,0,,,,,
guzeltepe-mus,Asia,Turkey,,http://www.skiresort.info/ski-resort/guzeltepe-mus/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
guzet,Europe,France,Occitania,http://www.skiresort.info/ski-resort/guzet/,2100,20,14,6,,,0,0,,31.5,0,27.5,European Euro,3.1,3.4,2.5,,,,,,,,,,,,,,,,,,,,,,
gwynne-valley,North America,Canada,Alberta,http://www.skiresort.info/ski-resort/gwynne-valley/,742,0.7,0.3,0,,,,0,,19,17,15,Canadian Dollar,1.3,1.3,1.3,,,,,,,,,,,,,,,,,0,,,,,
gyergyocsomafalva-snowpark,Europe,Romania,Harghita,http://www.skiresort.info/ski-resort/gyergyocsomafalva-snowpark/,1150,2.5,0.6,0,,,,,,35,0,20,Romanian leu,,,,,,,,,,,,,,,,,,,,,,,,,
h2o-guides,North America,USA,Alaska,http://www.skiresort.info/ski-resort/h2o-guides/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0,
habkern-sattelegg,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/habkern-sattelegg/,1485,2,4,2,,,,0,,35,0,24,Swiss Franc,1.9,2.3,1.5,,,,,,,,,,,,,,,,,0,,,,,
